gene_id	SRR326279	SRR326280	SRR326281	SRR326282
hsa-miR-3128	0.00	0.00	0.00	0.00
hsa-miR-3129-3p	0.00	0.00	0.00	0.00
hsa-miR-3129-5p	0.00	0.00	0.00	0.00
hsa-miR-3130-3p	0.00	0.00	0.00	0.00
hsa-miR-3130-5p	0.00	0.00	0.00	0.00
hsa-miR-3131	0.00	0.00	0.00	0.00
hsa-miR-3132	0.00	0.00	0.00	0.00
hsa-miR-3133	0.00	0.00	0.00	0.00
hsa-miR-3134	0.00	0.00	0.00	0.00
hsa-miR-3135a	0.00	0.00	0.00	0.00
hsa-miR-3135b	0.00	0.00	0.00	0.00
hsa-miR-3136-3p	0.00	0.00	0.00	0.00
hsa-miR-3136-5p	0.00	0.00	0.00	0.00
hsa-miR-3137	1.00	0.00	0.00	0.00
hsa-miR-3138	0.00	0.00	0.00	0.00
hsa-miR-3139	0.00	0.00	0.00	0.00
hsa-miR-31-3p	0.00	0.00	0.00	0.00
hsa-miR-3140-3p	0.00	0.00	0.00	0.00
hsa-miR-3140-5p	0.00	0.00	0.00	0.00
hsa-miR-3141	0.00	0.00	0.00	0.00
hsa-miR-3142	0.00	0.00	0.00	0.00
hsa-miR-3143	0.00	0.00	0.00	0.00
hsa-miR-3144-3p	0.00	0.00	0.00	0.00
hsa-miR-3144-5p	0.00	0.00	0.00	0.00
hsa-miR-3145-3p	0.00	0.00	0.00	0.00
hsa-miR-3145-5p	0.00	0.00	0.00	0.00
hsa-miR-3146	0.00	0.00	0.00	0.00
hsa-miR-3147	0.00	0.00	0.00	0.00
hsa-miR-3148	0.00	0.00	0.00	0.00
hsa-miR-3149	0.00	0.00	0.00	0.00
hsa-miR-3150a-3p	0.00	0.00	0.00	0.00
hsa-miR-3150a-5p	0.00	0.00	0.00	0.00
hsa-miR-3150b-3p	0.00	0.00	0.00	0.00
hsa-miR-3150b-5p	0.00	0.00	0.00	0.00
hsa-miR-3151	0.00	0.00	0.00	0.00
hsa-miR-3152-3p	0.00	0.00	0.00	0.00
hsa-miR-3152-5p	0.00	0.00	0.00	0.00
hsa-miR-3153	0.00	0.00	0.00	0.00
hsa-miR-3154	0.00	0.00	0.00	0.00
hsa-miR-3155a	0.00	0.00	0.00	0.00
hsa-miR-3155b	0.00	0.00	0.00	0.00
hsa-miR-3156-3p	0.00	0.00	0.00	0.00
hsa-miR-3156-5p	0.00	0.00	0.00	0.00
hsa-miR-3157-3p	0.00	0.00	0.00	0.00
hsa-miR-3157-5p	0.00	0.00	0.00	0.00
hsa-miR-3158-3p	0.00	0.00	0.00	0.00
hsa-miR-3158-5p	0.00	0.00	0.00	0.00
hsa-miR-3159	0.00	0.00	0.00	0.00
hsa-miR-31-5p	0.00	0.00	0.00	0.00
hsa-miR-3160-3p	0.00	0.00	0.00	0.00
hsa-miR-3160-5p	0.00	0.00	0.00	0.00
hsa-miR-3161	0.00	0.00	0.00	0.00
hsa-miR-3162-3p	0.00	0.00	0.00	0.00
hsa-miR-3162-5p	0.00	0.00	0.00	0.00
hsa-miR-3163	0.00	0.00	0.00	0.00
hsa-miR-3164	0.00	0.00	0.00	0.00
hsa-miR-3165	0.00	0.00	0.00	0.00
hsa-miR-3166	0.00	0.00	0.00	0.00
hsa-miR-3167	0.00	0.00	0.00	0.00
hsa-miR-3168	0.00	0.00	0.00	0.00
hsa-miR-3169	0.00	0.00	0.00	0.00
hsa-miR-3170	0.00	0.00	0.00	0.00
hsa-miR-3171	0.00	0.00	0.00	0.00
hsa-miR-3173-3p	0.00	0.00	0.00	0.00
hsa-miR-3173-5p	0.00	0.00	0.00	0.00
hsa-miR-3174	0.00	0.00	0.00	0.00
hsa-miR-3175	0.00	0.00	0.00	0.00
hsa-miR-3176	0.00	0.00	0.00	0.00
hsa-miR-3177-3p	1.00	0.00	0.00	0.00
hsa-miR-3177-5p	0.00	0.00	0.00	0.00
hsa-miR-3178	0.00	0.00	0.00	0.00
hsa-miR-3179	0.00	0.00	0.00	0.00
hsa-miR-3180	0.00	0.00	0.00	0.00
hsa-miR-3180-3p	0.00	0.00	0.00	0.00
hsa-miR-3180-5p	0.00	0.00	0.00	0.00
hsa-miR-3181	0.00	0.00	0.00	0.00
hsa-miR-3182	0.00	0.00	0.00	0.00
hsa-miR-3183	0.00	0.00	0.00	0.00
hsa-miR-3184-3p	0.00	0.00	0.00	0.00
hsa-miR-3184-5p	0.00	0.00	0.00	0.00
hsa-miR-3185	0.00	0.00	0.00	0.00
hsa-miR-3186-3p	0.00	0.00	0.00	0.00
hsa-miR-3186-5p	0.00	0.00	0.00	0.00
hsa-miR-3187-3p	0.00	0.00	0.00	0.00
hsa-miR-3187-5p	0.00	0.00	0.00	0.00
hsa-miR-3188	0.00	0.00	0.00	0.00
hsa-miR-3189-3p	0.00	0.00	0.00	0.00
hsa-miR-3189-5p	0.00	0.00	0.00	0.00
hsa-miR-3190-3p	0.00	0.00	0.00	0.00
hsa-miR-3190-5p	0.00	0.00	0.00	0.00
hsa-miR-3191-3p	0.00	0.00	0.00	0.00
hsa-miR-3191-5p	0.00	0.00	0.00	0.00
hsa-miR-3192	0.00	0.00	0.00	0.00
hsa-miR-3193	0.00	0.00	0.00	0.00
hsa-miR-3194-3p	0.00	0.00	0.00	0.00
hsa-miR-3194-5p	0.00	0.00	0.00	0.00
hsa-miR-3195	0.00	0.00	0.00	0.00
hsa-miR-3196	0.00	0.00	0.00	0.00
hsa-miR-3197	0.00	0.00	0.00	0.00
hsa-miR-3198	2.00	1.00	0.00	0.00
hsa-miR-3199	0.00	0.00	0.00	0.00
hsa-miR-3200-3p	0.00	0.00	0.00	0.00
hsa-miR-3200-5p	0.00	0.00	0.00	0.00
hsa-miR-3201	0.00	0.00	0.00	0.00
hsa-miR-3202	0.00	0.00	0.00	0.00
hsa-miR-320a	1347.00	1186.00	268.00	504.00
hsa-miR-320b	145.00	92.00	14.00	40.00
hsa-miR-320c	55.00	32.00	4.00	18.00
hsa-miR-320d	1.00	0.00	0.00	0.00
hsa-miR-320e	0.00	0.00	0.00	0.00
hsa-miR-323a-3p	0.00	0.00	0.00	0.00
hsa-miR-323a-5p	0.00	0.00	0.00	0.00
hsa-miR-323b-3p	0.00	0.00	0.00	0.00
hsa-miR-323b-5p	0.00	0.00	0.00	0.00
hsa-miR-32-3p	0.00	0.00	0.00	0.00
hsa-miR-324-3p	0.00	0.00	0.00	0.00
hsa-miR-324-5p	0.00	0.00	0.00	0.00
hsa-miR-325	0.00	0.00	0.00	0.00
hsa-miR-32-5p	0.00	0.00	0.00	0.00
hsa-miR-326	27.00	13.00	9.00	8.00
hsa-miR-328	0.00	0.00	0.00	0.00
hsa-miR-329	0.00	0.00	0.00	0.00
hsa-miR-330-3p	1.00	2.00	1.00	1.00
hsa-miR-330-5p	234.00	211.00	123.00	206.00
hsa-miR-331-3p	0.00	1.00	1.00	0.00
hsa-miR-331-5p	0.00	0.00	0.00	0.00
hsa-miR-335-3p	152.00	218.00	20.00	58.00
hsa-miR-335-5p	0.00	1.00	0.00	0.00
hsa-miR-337-3p	0.00	0.00	0.00	0.00
hsa-miR-337-5p	0.00	0.00	0.00	0.00
hsa-miR-338-3p	3.00	5.00	1.00	5.00
hsa-miR-338-5p	0.00	0.00	0.00	0.00
hsa-miR-339-3p	0.00	1.00	0.00	0.00
hsa-miR-339-5p	0.00	3.00	0.00	0.00
hsa-miR-33a-3p	0.00	0.00	0.00	0.00
hsa-miR-33a-5p	0.00	0.00	0.00	0.00
hsa-miR-33b-3p	0.00	0.00	0.00	0.00
hsa-miR-33b-5p	0.00	3.00	0.00	0.00
hsa-miR-340-3p	1.00	0.00	0.00	0.00
hsa-miR-340-5p	0.00	2.00	1.00	0.00
hsa-miR-342-3p	0.00	0.00	0.00	0.00
hsa-miR-342-5p	1.00	0.00	0.00	0.00
hsa-miR-345-3p	0.00	0.00	0.00	0.00
hsa-miR-345-5p	7.00	2.00	1.00	2.00
hsa-miR-346	0.00	0.00	0.00	0.00
hsa-miR-34a-3p	2.00	2.00	0.00	0.00
hsa-miR-34a-5p	459.00	552.00	182.00	351.00
hsa-miR-34b-3p	0.00	0.00	0.00	0.00
hsa-miR-34b-5p	0.00	0.00	0.00	0.00
hsa-miR-34c-3p	0.00	0.00	0.00	0.00
hsa-miR-34c-5p	1.00	0.00	0.00	0.00
hsa-miR-3529-3p	0.00	0.00	0.00	0.00
hsa-miR-3529-5p	0.00	0.00	0.00	0.00
hsa-miR-3591-3p	0.00	0.00	0.00	0.00
hsa-miR-3591-5p	0.00	0.00	0.00	0.00
hsa-miR-3605-3p	0.00	3.00	0.00	2.00
hsa-miR-3605-5p	6.00	5.00	3.00	4.00
hsa-miR-3606-3p	0.00	0.00	0.00	0.00
hsa-miR-3606-5p	0.00	0.00	0.00	0.00
hsa-miR-3607-3p	0.00	0.00	0.00	0.00
hsa-miR-3607-5p	0.00	0.00	0.00	0.00
hsa-miR-3609	0.00	0.00	0.00	0.00
hsa-miR-3610	0.00	0.00	0.00	0.00
hsa-miR-3611	0.00	0.00	0.00	0.00
hsa-miR-3612	0.00	0.00	0.00	0.00
hsa-miR-3613-3p	4.00	2.00	0.00	0.00
hsa-miR-3613-5p	0.00	0.00	0.00	0.00
hsa-miR-361-3p	0.00	0.00	0.00	0.00
hsa-miR-3614-3p	0.00	0.00	0.00	0.00
hsa-miR-3614-5p	0.00	0.00	0.00	0.00
hsa-miR-3615	0.00	0.00	0.00	0.00
hsa-miR-361-5p	1.00	2.00	1.00	1.00
hsa-miR-3616-3p	0.00	0.00	0.00	0.00
hsa-miR-3616-5p	0.00	0.00	0.00	0.00
hsa-miR-3617-3p	0.00	0.00	0.00	0.00
hsa-miR-3617-5p	0.00	0.00	0.00	0.00
hsa-miR-3618	0.00	0.00	0.00	0.00
hsa-miR-3619-3p	0.00	0.00	0.00	0.00
hsa-miR-3619-5p	0.00	0.00	0.00	0.00
hsa-miR-3620-3p	7.00	5.00	0.00	4.00
hsa-miR-3620-5p	4.00	0.00	0.00	0.00
hsa-miR-3621	0.00	0.00	0.00	0.00
hsa-miR-3622a-3p	0.00	0.00	0.00	0.00
hsa-miR-3622a-5p	0.00	0.00	0.00	0.00
hsa-miR-3622b-3p	0.00	0.00	0.00	0.00
hsa-miR-3622b-5p	0.00	0.00	0.00	0.00
hsa-miR-362-3p	0.00	0.00	0.00	0.00
hsa-miR-362-5p	0.00	0.00	0.00	0.00
hsa-miR-363-3p	0.00	0.00	0.00	0.00
hsa-miR-363-5p	0.00	0.00	0.00	0.00
hsa-miR-3646	0.00	0.00	0.00	0.00
hsa-miR-3648	0.00	0.00	0.00	0.00
hsa-miR-3649	0.00	0.00	0.00	0.00
hsa-miR-3650	0.00	0.00	0.00	0.00
hsa-miR-3651	0.00	0.00	0.00	0.00
hsa-miR-3652	0.00	0.00	0.00	0.00
hsa-miR-3653	0.00	0.00	0.00	1.00
hsa-miR-3654	0.00	0.00	0.00	0.00
hsa-miR-3655	0.00	0.00	0.00	0.00
hsa-miR-3656	0.00	0.00	0.00	0.00
hsa-miR-3657	0.00	0.00	0.00	0.00
hsa-miR-3658	0.00	0.00	0.00	0.00
hsa-miR-3659	2.00	2.00	0.00	2.00
hsa-miR-365a-3p	1.00	0.00	1.00	0.00
hsa-miR-365a-5p	4.00	4.00	2.00	1.00
hsa-miR-365b-3p	1.00	0.00	1.00	0.00
hsa-miR-365b-5p	3.00	2.00	0.00	0.00
hsa-miR-3660	0.00	0.00	1.00	1.00
hsa-miR-3661	0.00	0.00	0.00	0.00
hsa-miR-3662	0.00	0.00	0.00	0.00
hsa-miR-3663-3p	0.00	0.00	0.00	0.00
hsa-miR-3663-5p	0.00	0.00	0.00	0.00
hsa-miR-3664-3p	0.00	0.00	0.00	0.00
hsa-miR-3664-5p	0.00	0.00	0.00	0.00
hsa-miR-3665	0.00	0.00	0.00	0.00
hsa-miR-3666	0.00	0.00	0.00	0.00
hsa-miR-3667-3p	0.00	0.00	0.00	0.00
hsa-miR-3667-5p	0.00	0.00	0.00	0.00
hsa-miR-3668	0.00	0.00	0.00	0.00
hsa-miR-3669	0.00	0.00	0.00	0.00
hsa-miR-3670	0.00	0.00	0.00	0.00
hsa-miR-3671	0.00	0.00	0.00	0.00
hsa-miR-3672	0.00	0.00	0.00	0.00
hsa-miR-3673	0.00	0.00	0.00	0.00
hsa-miR-367-3p	0.00	0.00	0.00	0.00
hsa-miR-3674	0.00	0.00	0.00	0.00
hsa-miR-3675-3p	0.00	0.00	0.00	0.00
hsa-miR-3675-5p	0.00	1.00	0.00	0.00
hsa-miR-367-5p	0.00	0.00	0.00	0.00
hsa-miR-3676-3p	0.00	0.00	0.00	0.00
hsa-miR-3676-5p	0.00	0.00	0.00	0.00
hsa-miR-3677-3p	0.00	2.00	0.00	1.00
hsa-miR-3677-5p	0.00	0.00	0.00	0.00
hsa-miR-3678-3p	0.00	0.00	0.00	0.00
hsa-miR-3678-5p	0.00	0.00	0.00	0.00
hsa-miR-3679-3p	0.00	0.00	0.00	0.00
hsa-miR-3679-5p	1.00	0.00	0.00	1.00
hsa-miR-3680-3p	0.00	0.00	0.00	0.00
hsa-miR-3680-5p	0.00	0.00	0.00	0.00
hsa-miR-3681-3p	0.00	0.00	0.00	0.00
hsa-miR-3681-5p	0.00	0.00	0.00	0.00
hsa-miR-3682-3p	0.00	0.00	0.00	0.00
hsa-miR-3682-5p	0.00	0.00	0.00	0.00
hsa-miR-3683	0.00	0.00	0.00	0.00
hsa-miR-3684	0.00	0.00	0.00	0.00
hsa-miR-3685	0.00	0.00	0.00	0.00
hsa-miR-3686	0.00	0.00	0.00	0.00
hsa-miR-3687	0.00	0.00	0.00	0.00
hsa-miR-3688-3p	0.00	0.00	0.00	0.00
hsa-miR-3688-5p	0.00	0.00	0.00	0.00
hsa-miR-3689a-3p	0.00	0.00	0.00	0.00
hsa-miR-3689a-5p	0.00	0.00	0.00	0.00
hsa-miR-3689b-3p	0.00	0.00	0.00	0.00
hsa-miR-3689b-5p	0.00	0.00	0.00	0.00
hsa-miR-3689c	0.00	0.00	0.00	0.00
hsa-miR-3689d	0.00	0.00	0.00	0.00
hsa-miR-3689e	0.00	0.00	0.00	0.00
hsa-miR-3689f	0.00	0.00	0.00	0.00
hsa-miR-3690	0.00	0.00	0.00	0.00
hsa-miR-3691-3p	0.00	0.00	0.00	0.00
hsa-miR-3691-5p	1.00	0.00	0.00	0.00
hsa-miR-3692-3p	0.00	0.00	0.00	0.00
hsa-miR-3692-5p	0.00	0.00	0.00	0.00
hsa-miR-369-3p	0.00	0.00	0.00	0.00
hsa-miR-369-5p	0.00	0.00	0.00	0.00
hsa-miR-370	0.00	0.00	0.00	0.00
hsa-miR-3713	0.00	0.00	0.00	0.00
hsa-miR-3714	0.00	0.00	0.00	0.00
hsa-miR-371a-3p	0.00	0.00	0.00	0.00
hsa-miR-371a-5p	0.00	0.00	0.00	0.00
hsa-miR-371b-3p	0.00	0.00	0.00	0.00
hsa-miR-371b-5p	0.00	0.00	0.00	0.00
hsa-miR-372	0.00	0.00	0.00	0.00
hsa-miR-373-3p	0.00	0.00	0.00	0.00
hsa-miR-373-5p	0.00	0.00	0.00	0.00
hsa-miR-374a-3p	18.00	39.00	10.00	20.00
hsa-miR-374a-5p	1.00	0.00	0.00	0.00
hsa-miR-374b-3p	0.00	1.00	0.00	0.00
hsa-miR-374b-5p	1.00	8.00	2.00	0.00
hsa-miR-374c-3p	0.00	1.00	0.00	0.00
hsa-miR-374c-5p	0.00	0.00	0.00	0.00
hsa-miR-375	1.00	0.00	0.00	0.00
hsa-miR-376a-2-5p	0.00	0.00	0.00	0.00
hsa-miR-376a-3p	0.00	0.00	0.00	0.00
hsa-miR-376a-5p	0.00	0.00	0.00	0.00
hsa-miR-376b-3p	0.00	0.00	0.00	0.00
hsa-miR-376b-5p	0.00	0.00	0.00	0.00
hsa-miR-376c-3p	0.00	0.00	0.00	0.00
hsa-miR-376c-5p	0.00	0.00	0.00	0.00
hsa-miR-377-3p	0.00	0.00	0.00	0.00
hsa-miR-377-5p	0.00	0.00	0.00	0.00
hsa-miR-378a-3p	1502.00	2080.00	388.00	615.00
hsa-miR-378a-5p	127.00	127.00	28.00	64.00
hsa-miR-378b	20.00	29.00	2.00	9.00
hsa-miR-378c	328.00	412.00	81.00	100.00
hsa-miR-378d	107.00	111.00	30.00	26.00
hsa-miR-378e	0.00	0.00	0.00	0.00
hsa-miR-378f	342.00	349.00	72.00	128.00
hsa-miR-378g	209.00	285.00	62.00	138.00
hsa-miR-378h	0.00	0.00	0.00	0.00
hsa-miR-378i	0.00	1.00	0.00	0.00
hsa-miR-378j	4.00	2.00	0.00	0.00
hsa-miR-379-3p	0.00	0.00	0.00	0.00
hsa-miR-379-5p	0.00	0.00	2.00	0.00
hsa-miR-380-3p	0.00	0.00	0.00	0.00
hsa-miR-380-5p	0.00	0.00	0.00	0.00
hsa-miR-381-3p	0.00	0.00	0.00	0.00
hsa-miR-381-5p	0.00	0.00	0.00	0.00
hsa-miR-382-3p	0.00	0.00	0.00	0.00
hsa-miR-382-5p	0.00	0.00	1.00	0.00
hsa-miR-383	0.00	0.00	0.00	0.00
hsa-miR-384	0.00	0.00	0.00	0.00
hsa-miR-3907	0.00	0.00	0.00	0.00
hsa-miR-3908	0.00	0.00	0.00	0.00
hsa-miR-3909	0.00	0.00	0.00	0.00
hsa-miR-3910	0.00	0.00	0.00	0.00
hsa-miR-3911	1.00	0.00	0.00	0.00
hsa-miR-3912	0.00	0.00	0.00	0.00
hsa-miR-3913-3p	0.00	0.00	0.00	0.00
hsa-miR-3913-5p	0.00	0.00	0.00	0.00
hsa-miR-3914	0.00	0.00	0.00	0.00
hsa-miR-3915	0.00	0.00	0.00	0.00
hsa-miR-3916	0.00	0.00	0.00	0.00
hsa-miR-3917	0.00	6.00	0.00	6.00
hsa-miR-3918	0.00	0.00	0.00	0.00
hsa-miR-3919	0.00	0.00	0.00	0.00
hsa-miR-3920	1.00	0.00	0.00	0.00
hsa-miR-3921	0.00	0.00	0.00	0.00
hsa-miR-3922-3p	0.00	0.00	0.00	0.00
hsa-miR-3922-5p	0.00	0.00	0.00	0.00
hsa-miR-3923	0.00	0.00	0.00	0.00
hsa-miR-3924	0.00	0.00	0.00	0.00
hsa-miR-3925-3p	0.00	0.00	0.00	0.00
hsa-miR-3925-5p	0.00	0.00	0.00	0.00
hsa-miR-3926	0.00	0.00	0.00	0.00
hsa-miR-3927-3p	0.00	0.00	0.00	0.00
hsa-miR-3927-5p	0.00	0.00	0.00	0.00
hsa-miR-3928	0.00	0.00	0.00	0.00
hsa-miR-3929	0.00	0.00	0.00	0.00
hsa-miR-3934-3p	0.00	0.00	0.00	0.00
hsa-miR-3934-5p	1012.00	1153.00	384.00	503.00
hsa-miR-3935	0.00	0.00	0.00	0.00
hsa-miR-3936	0.00	0.00	0.00	0.00
hsa-miR-3937	0.00	0.00	0.00	0.00
hsa-miR-3938	0.00	0.00	0.00	0.00
hsa-miR-3939	0.00	0.00	0.00	0.00
hsa-miR-3940-3p	0.00	0.00	0.00	0.00
hsa-miR-3940-5p	0.00	0.00	0.00	0.00
hsa-miR-3941	0.00	0.00	0.00	0.00
hsa-miR-3942-3p	0.00	0.00	0.00	0.00
hsa-miR-3942-5p	0.00	0.00	0.00	1.00
hsa-miR-3943	0.00	0.00	0.00	0.00
hsa-miR-3944-3p	2.00	0.00	0.00	0.00
hsa-miR-3944-5p	0.00	0.00	0.00	0.00
hsa-miR-3945	0.00	0.00	0.00	0.00
hsa-miR-3960	0.00	0.00	0.00	0.00
hsa-miR-3972	0.00	0.00	0.00	0.00
hsa-miR-3973	0.00	0.00	0.00	0.00
hsa-miR-3974	0.00	0.00	0.00	0.00
hsa-miR-3975	0.00	0.00	0.00	0.00
hsa-miR-3976	0.00	0.00	0.00	0.00
hsa-miR-3977	0.00	0.00	0.00	0.00
hsa-miR-3978	0.00	0.00	0.00	0.00
hsa-miR-409-3p	0.00	0.00	0.00	0.00
hsa-miR-409-5p	0.00	0.00	0.00	0.00
hsa-miR-410	0.00	0.00	0.00	0.00
hsa-miR-411-3p	0.00	0.00	0.00	0.00
hsa-miR-411-5p	0.00	0.00	0.00	0.00
hsa-miR-412	0.00	0.00	0.00	0.00
hsa-miR-421	0.00	1.00	0.00	0.00
hsa-miR-422a	0.00	0.00	0.00	0.00
hsa-miR-423-3p	10.00	31.00	3.00	6.00
hsa-miR-423-5p	1.00	2.00	0.00	0.00
hsa-miR-424-3p	0.00	0.00	0.00	0.00
hsa-miR-424-5p	0.00	0.00	0.00	0.00
hsa-miR-4251	0.00	0.00	0.00	0.00
hsa-miR-4252	0.00	0.00	0.00	0.00
hsa-miR-4253	0.00	0.00	0.00	0.00
hsa-miR-425-3p	1.00	0.00	0.00	0.00
hsa-miR-4254	0.00	0.00	0.00	0.00
hsa-miR-4255	0.00	0.00	0.00	0.00
hsa-miR-425-5p	2.00	2.00	1.00	0.00
hsa-miR-4256	0.00	0.00	0.00	0.00
hsa-miR-4257	0.00	0.00	0.00	0.00
hsa-miR-4258	0.00	0.00	0.00	0.00
hsa-miR-4259	0.00	0.00	0.00	0.00
hsa-miR-4260	0.00	0.00	0.00	0.00
hsa-miR-4261	0.00	0.00	0.00	0.00
hsa-miR-4262	0.00	0.00	0.00	0.00
hsa-miR-4263	0.00	0.00	0.00	0.00
hsa-miR-4264	0.00	0.00	0.00	0.00
hsa-miR-4265	0.00	0.00	0.00	0.00
hsa-miR-4266	0.00	0.00	0.00	0.00
hsa-miR-4267	0.00	0.00	0.00	0.00
hsa-miR-4268	0.00	0.00	0.00	0.00
hsa-miR-4269	0.00	0.00	0.00	0.00
hsa-miR-4270	0.00	0.00	0.00	0.00
hsa-miR-4271	0.00	0.00	0.00	0.00
hsa-miR-4272	0.00	0.00	0.00	0.00
hsa-miR-4273	0.00	0.00	0.00	0.00
hsa-miR-4274	0.00	0.00	0.00	0.00
hsa-miR-4275	0.00	0.00	0.00	0.00
hsa-miR-4276	0.00	0.00	0.00	0.00
hsa-miR-4277	0.00	0.00	0.00	0.00
hsa-miR-4278	0.00	0.00	0.00	0.00
hsa-miR-4279	0.00	0.00	0.00	0.00
hsa-miR-4280	0.00	0.00	0.00	0.00
hsa-miR-4281	0.00	0.00	0.00	0.00
hsa-miR-4282	0.00	0.00	0.00	0.00
hsa-miR-4283	0.00	0.00	0.00	0.00
hsa-miR-4284	0.00	0.00	0.00	0.00
hsa-miR-4285	0.00	0.00	0.00	0.00
hsa-miR-4286	0.00	0.00	0.00	0.00
hsa-miR-4287	0.00	0.00	0.00	0.00
hsa-miR-4288	0.00	0.00	0.00	0.00
hsa-miR-4289	0.00	0.00	0.00	0.00
hsa-miR-429	4079.00	5193.00	1052.00	2258.00
hsa-miR-4290	0.00	0.00	0.00	0.00
hsa-miR-4291	0.00	0.00	0.00	0.00
hsa-miR-4292	0.00	0.00	0.00	0.00
hsa-miR-4293	0.00	0.00	0.00	0.00
hsa-miR-4294	0.00	0.00	0.00	0.00
hsa-miR-4295	0.00	0.00	0.00	0.00
hsa-miR-4296	0.00	0.00	0.00	0.00
hsa-miR-4297	0.00	0.00	0.00	0.00
hsa-miR-4298	0.00	0.00	0.00	0.00
hsa-miR-4299	0.00	0.00	0.00	0.00
hsa-miR-4300	0.00	0.00	0.00	0.00
hsa-miR-4301	0.00	0.00	0.00	0.00
hsa-miR-4302	0.00	0.00	0.00	0.00
hsa-miR-4303	0.00	0.00	0.00	0.00
hsa-miR-4304	0.00	0.00	0.00	0.00
hsa-miR-4305	0.00	0.00	0.00	0.00
hsa-miR-4306	0.00	0.00	0.00	0.00
hsa-miR-4307	0.00	0.00	0.00	0.00
hsa-miR-4308	0.00	0.00	0.00	0.00
hsa-miR-4309	0.00	0.00	0.00	0.00
hsa-miR-4310	0.00	0.00	0.00	0.00
hsa-miR-4311	0.00	0.00	0.00	0.00
hsa-miR-4312	0.00	0.00	0.00	0.00
hsa-miR-4313	0.00	0.00	0.00	0.00
hsa-miR-431-3p	0.00	1.00	0.00	0.00
hsa-miR-4314	0.00	0.00	0.00	0.00
hsa-miR-4315	0.00	0.00	0.00	0.00
hsa-miR-431-5p	0.00	0.00	0.00	0.00
hsa-miR-4316	0.00	0.00	0.00	0.00
hsa-miR-4317	0.00	0.00	0.00	0.00
hsa-miR-4318	0.00	0.00	0.00	0.00
hsa-miR-4319	0.00	0.00	0.00	0.00
hsa-miR-4320	0.00	0.00	0.00	0.00
hsa-miR-4321	0.00	0.00	0.00	0.00
hsa-miR-4322	0.00	0.00	0.00	0.00
hsa-miR-4323	0.00	0.00	0.00	0.00
hsa-miR-432-3p	0.00	0.00	0.00	0.00
hsa-miR-4324	0.00	0.00	0.00	0.00
hsa-miR-4325	0.00	0.00	0.00	0.00
hsa-miR-432-5p	0.00	0.00	0.00	0.00
hsa-miR-4326	0.00	0.00	0.00	0.00
hsa-miR-4327	0.00	0.00	0.00	0.00
hsa-miR-4328	0.00	0.00	0.00	0.00
hsa-miR-4329	0.00	0.00	0.00	0.00
hsa-miR-433	0.00	0.00	0.00	0.00
hsa-miR-4330	0.00	0.00	0.00	0.00
hsa-miR-4417	2.00	2.00	0.00	0.00
hsa-miR-4418	0.00	0.00	0.00	0.00
hsa-miR-4419a	0.00	0.00	0.00	0.00
hsa-miR-4419b	0.00	0.00	0.00	0.00
hsa-miR-4420	0.00	0.00	0.00	0.00
hsa-miR-4421	0.00	0.00	0.00	0.00
hsa-miR-4422	0.00	0.00	0.00	0.00
hsa-miR-4423-3p	0.00	0.00	0.00	0.00
hsa-miR-4423-5p	0.00	0.00	0.00	0.00
hsa-miR-4424	0.00	1.00	0.00	0.00
hsa-miR-4425	0.00	0.00	0.00	0.00
hsa-miR-4426	0.00	0.00	0.00	0.00
hsa-miR-4427	0.00	0.00	0.00	0.00
hsa-miR-4428	0.00	0.00	0.00	0.00
hsa-miR-4429	0.00	2.00	0.00	0.00
hsa-miR-4430	0.00	0.00	0.00	0.00
hsa-miR-4431	0.00	0.00	0.00	0.00
hsa-miR-4432	0.00	0.00	0.00	0.00
hsa-miR-4433-3p	0.00	0.00	0.00	0.00
hsa-miR-4433-5p	0.00	0.00	0.00	0.00
hsa-miR-4434	0.00	0.00	0.00	0.00
hsa-miR-4435	0.00	0.00	0.00	0.00
hsa-miR-4436a	0.00	0.00	0.00	0.00
hsa-miR-4436b-3p	0.00	0.00	0.00	0.00
hsa-miR-4436b-5p	0.00	0.00	0.00	0.00
hsa-miR-4437	0.00	0.00	0.00	0.00
hsa-miR-4438	0.00	0.00	0.00	0.00
hsa-miR-4439	0.00	0.00	0.00	0.00
hsa-miR-4440	0.00	0.00	0.00	0.00
hsa-miR-4441	0.00	0.00	0.00	0.00
hsa-miR-4442	0.00	0.00	0.00	0.00
hsa-miR-4443	0.00	0.00	0.00	0.00
hsa-miR-4444	0.00	0.00	0.00	0.00
hsa-miR-4445-3p	0.00	0.00	0.00	0.00
hsa-miR-4445-5p	0.00	0.00	0.00	0.00
hsa-miR-4446-3p	537.00	613.00	160.00	266.00
hsa-miR-4446-5p	0.00	0.00	0.00	0.00
hsa-miR-4447	0.00	0.00	0.00	0.00
hsa-miR-4448	0.00	0.00	0.00	0.00
hsa-miR-4449	0.00	0.00	0.00	0.00
hsa-miR-4450	0.00	0.00	0.00	0.00
hsa-miR-4451	0.00	0.00	0.00	0.00
hsa-miR-4452	0.00	0.00	0.00	0.00
hsa-miR-4453	0.00	0.00	0.00	0.00
hsa-miR-4454	0.00	0.00	0.00	0.00
hsa-miR-4455	0.00	0.00	0.00	0.00
hsa-miR-4456	0.00	0.00	0.00	0.00
hsa-miR-4457	0.00	0.00	0.00	0.00
hsa-miR-4458	1.00	0.00	0.00	0.00
